2025-11-30 19:32:20.749 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:/Users/gaozhiwei/nacos/config
2025-11-30 19:32:21.998 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-kd-platform.properties,DEFAULT_GROUP'}, BootstrapPropertySource {name='bootstrapProperties-kd-platform,DEFAULT_GROUP'}]
2025-11-30 19:32:22.056 [main] INFO  org.action.KdHandler - No active profile set, falling back to 1 default profile: "default"
2025-11-30 19:32:22.855 [main] INFO  org.apache.dubbo.rpc.model.FrameworkModel -  [DUBBO] Dubbo Framework[1] is created, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:22.880 [main] INFO  o.a.d.common.resource.GlobalResourcesRepository -  [DUBBO] Creating global shared handler ..., dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:22.977 [main] INFO  org.apache.dubbo.rpc.model.ApplicationModel -  [DUBBO] Dubbo Application[1.0](unknown) is created, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:22.979 [main] INFO  org.apache.dubbo.rpc.model.ScopeModel -  [DUBBO] Dubbo Module[1.0.0] is created, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.014 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.014 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.028 [main] INFO  o.a.dubbo.common.utils.SerializeSecurityManager -  [DUBBO] Serialize check serializable: true, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.029 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/Users/gaozhiwei/maven/mvnstudy/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.053 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/Users/gaozhiwei/maven/mvnstudy/org/apache/dubbo/dubbo/3.2.2/dubbo-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.054 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize blocked list from jar:file:/Users/gaozhiwei/maven/mvnstudy/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.blockedlist, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.100 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize blocked list from jar:file:/Users/gaozhiwei/maven/mvnstudy/org/apache/dubbo/dubbo/3.2.2/dubbo-3.2.2.jar!/security/serialize.blockedlist, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.270 [main] INFO  org.apache.dubbo.rpc.model.ApplicationModel -  [DUBBO] Dubbo Application[1.1](unknown) is created, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.270 [main] INFO  org.apache.dubbo.rpc.model.ScopeModel -  [DUBBO] Dubbo Module[1.1.0] is created, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.277 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.1.118
2025-11-30 19:32:23.277 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.1.118
