2024-10-09 09:21:48.709 [main] INFO  c.a.n.client.config.impl.LocalConfigInfoProcessor - LOCAL_SNAPSHOT_PATH:C:\Users\高志伟\nacos\config
2024-10-09 09:21:48.807 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-kd-platform.yaml,kd-starter'}, BootstrapPropertySource {name='bootstrapProperties-kd-platform,kd-starter'}]
2024-10-09 09:21:48.839 [main] INFO  org.action.KdHandler - No active profile set, falling back to 1 default profile: "default"
2024-10-09 09:21:50.234 [main] INFO  org.apache.dubbo.rpc.model.FrameworkModel -  [DUBBO] Dubbo Framework[1] is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.255 [main] INFO  o.a.d.common.resource.GlobalResourcesRepository -  [DUBBO] Creating global shared handler ..., dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.474 [main] INFO  org.apache.dubbo.rpc.model.ApplicationModel -  [DUBBO] Dubbo Application[1.0](unknown) is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.475 [main] INFO  org.apache.dubbo.rpc.model.ScopeModel -  [DUBBO] Dubbo Module[1.0.0] is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.515 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.515 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.533 [main] INFO  o.a.dubbo.common.utils.SerializeSecurityManager -  [DUBBO] Serialize check serializable: true, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.534 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/D:/repo/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.549 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/D:/repo/org/apache/dubbo/dubbo/3.2.2/dubbo-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.551 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize blocked list from jar:file:/D:/repo/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.blockedlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.577 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize blocked list from jar:file:/D:/repo/org/apache/dubbo/dubbo/3.2.2/dubbo-3.2.2.jar!/security/serialize.blockedlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.696 [main] INFO  org.apache.dubbo.rpc.model.ApplicationModel -  [DUBBO] Dubbo Application[1.1](unknown) is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.697 [main] INFO  org.apache.dubbo.rpc.model.ScopeModel -  [DUBBO] Dubbo Module[1.1.0] is created, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.705 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.705 [main] INFO  o.a.dubbo.config.context.AbstractConfigManager -  [DUBBO] Config settings: {dubbo.config.mode=STRICT, dubbo.config.ignore-duplicated-interface=false}, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.709 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/D:/repo/org/apache/dubbo/dubbo-common/3.2.2/dubbo-common-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.31.84
2024-10-09 09:21:50.710 [main] INFO  o.a.d.common.utils.SerializeSecurityConfigurator -  [DUBBO] Read serialize allow list from jar:file:/D:/repo/org/apache/dubbo/dubbo/3.2.2/dubbo-3.2.2.jar!/security/serialize.allowlist, dubbo version: 3.2.2, current host: 192.168.31.84
